BranchCode,SiteCode,FleetCode,CustomerCode,ModelCode,AssetName,SerialNumber,RegistrationCounter,ComponentCode,ModifierCode,TaskTypeCode,TaskCounterCode,StrategyTaskDescription,FrequencyValue,LifeToDateValue,PrimaryPartNumberCode,ActualPartNumberCode,SourceOfSupplyCode,StrategyUOMCode,StrategyUsageValue,LastStrategyUsageValue,StrategyDate,LastStrategyDate,SalesStatusCode,SalesLostReasonCode,SalesStatusCommentsNote,PurchaseOrderNumber
,,,,,,,217040,,,,,Steering System Hoses Lines and Fittings,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Steering Controls,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Imp RHR,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Axle Cooler,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Hyd Imp Pump LHF,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Fan,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Pilot & Axle Cooling,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Pump Hydraulic Implement RHF,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Motor Hydraulic Axle Cooler Rear,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Motor Hydraulic Axle Cooler Front,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Motor Hydraulic Fan High Temp,5000.0,1718.0,,,,H,,21565.0,,,,,,
,,,,,,,217040,,,,,Valve Hydraulic,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Valve Hydraulic,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Valve Hydraulic,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Valve Hydraulic,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Hydraulic,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Pilot System Hoses,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Hydraulic System Hoses,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Cylinder Hoist RH,5000.0,10041.0,,,,H,,13242.0,,,,,,
,,,,,,,217040,,,,,Cylinder Hoist LH,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Cylinder Bucket RH,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Cylinder Bucket LH,5000.0,13868.0,,,,H,,9415.0,,,,,,
,,,,,,,217040,,,,,Auto Lube Injectors,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Auto Lube Pump,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Auto Lube System Service,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Tyre Position 4,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Tyre Position 3,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Tyre Position 2,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Tyre Position 1,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Trunnions Rear Axle Oscillation,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Rear Axle Oscillation Group,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Rear Differential,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Axle Rear,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Axle Front,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Front Differential,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 4,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 3,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 2,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 1,5000.0,2753.0,,,,H,,20530.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft Cntr Bearing to Front Diff,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft Transmission to Cntr Bearing,5000.0,8781.0,,,,H,,14502.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft Transmission to Rear Diff,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft TC to Transmission,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Centre Bearing Drive Shaft,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Input Drive Shafts Group,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Drive Shafts Group,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Oil Pump Engine,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Engine,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Turbocharger RH,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Turbocharger LH,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Exhaust Mufflers,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Aftercooler Engine,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Pump Fuel Transfer,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Fuel Transfer Pump,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Fuel Injectors,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Water Pump Engine,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,ThermostatsRegulators,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Coolant Engine,5000.0,23283.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Radiator Engine,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Fan Cooling System,5000.0,1718.0,,,,H,,21565.0,,,,,,
,,,,,,,217040,,,,,Engine Assembly Caterpillar C32,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Starter Motor Upper,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Starter Motor Lower,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Electrical Harnesses,5000.0,7168.0,,,,H,,16115.0,,,,,,
,,,,,,,217040,,,,,Alternator 24V,5000.0,1565.0,,,,H,,21718.0,,,,,,
